chr	po	NAME	TCGA.A1.A0SK.01A	TCGA.A1.A0SO.01A	TCGA.A2.A04W.01A	TCGA.A2.A0D0.01A	TCGA.A2.A0D1.01A	TCGA.A2.A0EQ.01A	TCGA.A2.A0ET.01A	TCGA.A8.A06N.01A	TCGA.A8.A06Y.01A	TCGA.A8.A06Z.01A	TCGA.A8.A081.01A	TCGA.A8.A083.01A	TCGA.A8.A08J.01A	TCGA.A8.A09X.01A	TCGA.AN.A04D.01A	TCGA.AN.A0FJ.01A	TCGA.AN.A0FV.01A	TCGA.AN.A0FZ.01A	TCGA.AO.A0J2.01A	TCGA.AO.A0J3.01A	TCGA.AO.A0J6.01A	TCGA.AO.A0JC.01A	TCGA.AO.A0JI.01A	TCGA.AO.A0JL.01A	TCGA.AO.A124.01A	TCGA.AO.A125.01A	TCGA.AO.A12B.01A	TCGA.AO.A12D.01A	TCGA.AO.A12H.01A	TCGA.AQ.A04L.01B	TCGA.AR.A0TP.01A	TCGA.AR.A0TR.01A	TCGA.AR.A0TV.01A	TCGA.AR.A1AI.01A	TCGA.AR.A1AS.01A	TCGA.B6.A0I2.01A	TCGA.B6.A0IA.01A	TCGA.B6.A0IC.01A	TCGA.B6.A0RL.01A	TCGA.B6.A0RM.01A	TCGA.B6.A0RS.01A	TCGA.B6.A0X4.01A	TCGA.B6.A0X5.01A	TCGA.BH.A0DL.01A	TCGA.BH.A0E0.01A	TCGA.BH.A0EE.01A	TCGA.BH.A0HW.01A	TCGA.BH.A18N.01A	TCGA.C8.A12L.01A	TCGA.C8.A12M.01A	TCGA.C8.A12P.01A	TCGA.C8.A12U.01A	TCGA.C8.A133.01A	TCGA.D8.A13Y.01A	TCGA.D8.A13Z.01A	TCGA.E2.A14Y.01A	TCGA.E2.A158.01A	TCGA.E2.A15K.06A	TCGA.E2.A15R.01A	TCGA.E2.A1B0.01A
1	16215490	HSPB7	0.035	-0.228	0.573	-0.15	0.08	-0.011	-0.298	0.017	-0.676	0.512	-0.265	-0.011	-0.354	-0.336	-0.715	0.121	-0.163	-0.036	0.417	-0.361	-0.427	0.029	-0.638	-0.251	-0.8	-0.1	-0.209	-0.016	0.015	0.234	0.072	-0.021	0.094	0.185	-0.001	-0.208	0.422	0.006	-0.266	-0.043	-0.435	-0.002	-0.055	0.227	0.101	0.237	-0.226	-0.193	-0.368	-0.281	-0.12	0.009	-0.081	-0.613	-0.025	0.007	-0.566	-0.029	-0.727	0.014
1	17292188	PADI2	-0.019	-0.228	-0.08	-0.15	0.083	0.01	-0.317	-0.042	-0.676	0.462	-0.256	-0.02	-0.408	0.036	-0.709	0.552	-0.176	-0.007	-0.117	-0.349	-0.447	0.007	-0.633	-0.257	-0.853	-0.103	-0.202	-0.011	0.015	0.234	-0.027	-0.021	0.094	0.458	0.041	-0.217	-0.024	0.011	-0.288	-0.051	-0.435	-0.002	-0.04	0.227	0.086	0.237	-0.215	-0.193	-0.376	-0.281	-0.116	0.021	-0.108	-0.611	-0.015	0.033	-0.55	-0.027	-0.749	-0.007
1	17990270	ACTL8	-0.019	-0.228	-0.08	-0.15	0.083	0.01	-0.317	-0.042	-0.676	0.462	-0.256	-0.02	-0.408	0.036	-0.709	0.552	-0.176	-0.007	-0.117	-0.349	-0.447	0.007	-0.633	-0.257	-0.853	-0.103	-0.202	-0.011	0.015	0.234	-0.004	-0.021	0.094	0.188	0.041	-0.217	-0.024	0.011	-0.288	-0.051	-0.435	-0.002	-0.04	0.227	0.086	0.237	-0.215	-0.193	-0.376	-0.281	-0.116	0.021	-0.108	-0.611	-0.015	0.033	-0.55	-0.027	-0.749	-0.007
1	18442195	IGSF21	-0.019	-0.228	0.833	-0.236	0.083	0.01	-0.331	-0.042	-0.701	0.462	-0.256	-0.02	-0.408	0.036	-0.709	0.064	-0.176	-0.007	-0.117	-0.349	-0.447	0.007	-0.633	-0.257	-0.853	-0.103	-0.202	-0.011	0.015	0.234	-0.004	-0.021	0.094	0.188	0.041	-0.217	-0.024	0.011	-0.288	-0.051	-0.435	-0.002	-0.04	0.227	0.086	0.237	-0.215	-0.193	-0.376	-0.281	-0.116	0.021	-0.08	-0.611	-0.015	0.033	-0.55	-0.027	-0.749	-0.007
1	19484755	AKR7A3	-0.019	-0.228	-0.089	-0.236	0.083	0.01	-0.331	-0.042	-0.701	0.462	-0.256	-0.02	-0.408	0.036	-0.709	0.537	-0.176	-0.007	-0.117	-0.349	-0.447	0.007	-0.633	-0.257	-0.796	-0.103	-0.202	-0.011	0.015	0.234	-0.004	-0.021	0.094	0.188	0.014	-0.217	-0.024	0.011	-0.288	-0.051	-0.435	-0.002	-0.04	0.227	0.086	0.237	-0.215	-0.193	-0.376	-0.281	-0.116	0.021	-0.08	-0.611	-0.015	0.033	-0.567	-0.027	-0.749	-0.007
1	20013733	RNF186	-0.019	-0.228	-0.089	-0.236	0.083	0.01	-0.331	-0.042	-0.701	0.462	-0.256	-0.02	-0.408	0.036	-0.709	0.537	-0.176	-0.007	-0.117	-0.349	-0.447	0.007	-0.633	-0.257	-0.796	-0.103	-0.202	-0.011	0.015	0.234	-0.004	-0.021	0.094	0.188	0.014	-0.217	-0.024	0.011	-0.288	-0.051	-0.435	-0.002	-0.04	0.227	0.086	0.237	-0.215	-0.193	-0.376	-0.281	-0.116	0.021	-0.08	-0.611	-0.015	0.033	-0.567	-0.027	-0.749	-0.007
1	20177014	PLA2G2A	-0.019	-0.228	-0.089	-0.236	0.083	0.01	-0.331	-0.042	-0.701	0.462	-0.256	-0.02	-0.408	0.036	-0.709	0.537	-0.176	-0.007	-0.117	-0.349	-0.447	0.007	-0.633	-0.257	-0.796	-0.103	-0.202	-0.011	0.015	0.234	-0.004	-0.021	0.094	0.188	0.014	-0.217	-0.024	0.011	-0.288	-0.051	-0.435	-0.002	-0.04	0.227	0.086	0.237	-0.215	-0.193	-0.376	-0.281	-0.116	0.021	-0.08	-0.611	-0.015	0.033	-0.567	-0.027	-0.749	-0.007
1	22329245	WNT4	-0.019	-0.228	0.022	-0.184	0.083	0.01	-0.331	-0.042	-0.701	0.462	-0.256	-0.02	-0.408	0.036	-0.691	0.164	-0.176	0.132	-0.117	-0.349	-0.432	0.007	-0.633	-0.257	-0.786	-0.103	-0.202	-0.01	0.015	0.247	-0.004	-0.021	0.094	0.188	0.014	-0.217	-0.024	0.011	-0.279	-0.041	-0.435	-0.002	-0.04	0.227	0.086	0.237	-0.215	-0.193	-0.376	-0.281	-0.116	0.021	-0.08	-0.611	-0.015	0.033	0.05	-0.021	-0.749	-0.007
1	24536518	GRHL3	-0.019	-0.228	0.022	-0.184	0.083	0.01	-0.331	-0.072	-0.677	0.462	-0.256	-0.02	-0.408	0.036	-0.691	0.185	-0.176	0.132	-0.117	-0.349	-0.432	0.007	-0.633	-0.257	-0.786	-0.074	-0.202	-0.01	0.015	0.247	-0.004	-0.021	0.094	0.188	0.014	-0.217	-0.024	0.011	-0.279	-0.041	-0.435	-0.002	-0.04	0.227	0.086	0.237	-0.215	-0.193	-0.376	-0.281	-0.116	0.021	-0.08	-0.611	-0.015	0.033	0.06	-0.021	-0.749	-0.007
1	25113972	RUNX3	-0.019	-0.228	0.022	-0.184	0.083	0.01	-0.331	-0.072	-0.677	0.462	-0.256	-0.02	-0.408	0.036	-0.691	0.144	-0.176	0.132	-0.117	-0.349	-0.432	0.007	-0.633	-0.257	-0.169	-0.074	-0.202	-0.01	0.015	0.247	-0.004	-0.021	0.094	0.188	0.014	-0.217	-0.024	0.011	-0.279	-0.041	-0.435	-0.002	-0.04	0.227	0.086	0.237	-0.215	-0.193	-0.376	-0.281	-0.116	0.021	-0.08	-0.611	-0.015	0.033	0.06	-0.021	-0.749	-0.007
1	25900195	MAN1C1	0.023	-0.228	0.011	-0.059	0.075	0.01	-0.331	0.188	-0.681	0.462	-0.28	-0.025	-0.408	-0.093	-0.672	0.144	-0.176	-0.015	-0.117	-0.349	-0.433	0.007	-0.653	-0.213	-0.731	-0.054	-0.202	-0.01	0.015	0.246	0.041	-0.007	0.092	0.217	0.014	-0.202	-0.025	0.01	-0.297	-0.04	-0.429	-0.002	-0.006	0.227	0.109	0.223	-0.216	-0.199	-0.376	-0.281	-0.116	0.023	-0.085	-0.613	0.077	-0.001	0.059	0.004	-0.723	-0.012
1	26228199	EXTL1	0.023	-0.228	0.011	-0.059	0.075	0.01	-0.331	0.188	-0.681	0.462	-0.28	-0.025	-0.408	-0.093	-0.672	0.144	-0.176	-0.015	-0.117	-0.349	-0.433	0.007	-0.633	-0.213	-0.228	-0.054	-0.202	-0.01	0.015	0.246	0.041	-0.007	0.092	0.217	0.014	-0.202	-0.025	0.01	-0.297	-0.04	-0.429	-0.002	-0.006	0.227	0.109	0.223	-0.216	-0.198	-0.376	-0.281	-0.116	0.023	-0.085	-0.613	0.077	-0.001	0.059	0.004	-0.723	-0.012
1	26258547	TRIM63	0.023	-0.228	0.011	-0.059	0.075	0.01	-0.331	0.188	-0.681	0.462	-0.28	-0.025	-0.408	-0.093	-0.672	0.144	-0.176	-0.015	-0.117	-0.349	-0.433	0.007	-0.633	-0.213	-0.228	-0.054	-0.202	-0.01	0.015	0.246	0.041	-0.007	0.092	0.217	0.014	-0.202	-0.025	0.01	-0.297	-0.04	-0.429	-0.002	-0.006	0.227	0.109	0.223	-0.216	-0.198	-0.376	-0.281	-0.116	0.023	-0.085	-0.613	0.077	-0.001	0.059	0.004	-0.723	-0.012
1	26518299	CD52	0.023	-0.228	0.011	-0.059	0.075	0.01	-0.331	0.188	-0.681	0.462	-0.28	-0.025	-0.408	-0.093	-0.672	0.144	-0.176	-0.015	-0.117	-0.349	-0.433	0.007	-0.633	-0.213	-0.228	-0.054	-0.202	-0.01	0.015	0.246	0.041	-0.007	0.092	0.217	0.014	-0.202	-0.025	0.01	-0.297	-0.04	-0.429	-0.002	-0.006	0.227	0.109	0.223	-0.216	-0.198	-0.376	-0.281	-0.116	0.023	-0.085	-0.613	0.077	-0.001	0.059	0.004	-0.723	-0.012
1	26566282	ZNF683	0.023	-0.228	0.011	-0.059	0.075	0.01	-0.331	0.188	-0.681	0.462	-0.28	-0.025	-0.408	-0.093	-0.672	0.144	-0.176	-0.015	-0.117	-0.349	-0.433	0.007	-0.633	-0.213	-0.228	-0.054	-0.202	-0.01	0.015	0.246	0.041	-0.007	0.092	0.217	0.014	-0.202	-0.025	0.01	-0.297	-0.04	-0.429	-0.002	-0.006	0.227	0.109	0.223	-0.216	-0.198	-0.376	-0.281	-0.116	0.023	-0.085	-0.613	0.077	-0.001	0.059	0.004	-0.723	-0.012
1	27208008	FAM46B	0.023	-0.228	0.011	-0.059	0.075	0.01	-0.331	0.188	-0.681	0.462	-0.28	-0.025	-0.408	-0.093	-0.672	0.659	-0.176	-0.015	-0.117	-0.349	-0.433	0.007	-0.633	-0.213	-0.209	-0.054	-0.202	-0.01	0.015	0.246	0.041	-0.007	0.092	0.197	0.014	-0.202	-0.025	0.01	-0.297	-0.04	-0.429	-0.002	-0.006	0.227	-0.269	0.223	-0.216	-0.198	-0.376	-0.281	-0.116	0.023	-0.085	-0.613	0.077	-0.001	0.582	0.004	-0.723	-0.012
1	27868234	IFI6	0.023	-0.228	0.011	-0.059	0.075	0.01	-0.331	0.188	-0.681	0.462	-0.28	-0.025	-0.408	-0.093	0.716	0.659	-0.176	-0.015	-0.117	-0.349	-0.433	0.007	-0.633	-0.213	-0.209	-0.054	-0.202	-0.01	0.015	0.246	0.041	-0.007	0.092	0.197	0.014	-0.202	-0.025	0.01	-0.297	-0.04	-0.429	-0.002	-0.006	0.227	0.098	0.223	-0.216	-0.198	-0.376	-0.281	-0.116	0.023	-0.085	-0.613	0.077	-0.001	0.582	0.004	-0.723	-0.012
1	31983770	BAI2	0.023	0.347	0.026	0.512	0.079	0.01	-0.331	0.188	-0.681	0.462	-0.28	-0.004	-0.402	-0.193	0.699	0.181	-0.184	-0.015	-0.117	-0.349	-0.422	0.007	-0.633	-0.213	-0.19	-0.054	-0.202	-0.025	0.015	0.276	0.042	-0.011	0.075	-0.513	0.014	-0.202	-0.025	0.01	-0.297	-0.042	-0.429	-0.002	-0.047	0.227	0.098	0.223	-0.216	-0.194	-0.377	-0.185	0.054	0.023	-0.035	0.157	0.077	-0.001	0.582	0.004	-0.723	-0.012
1	32041389	SPOCD1	0.023	0.347	0.026	0.512	0.079	0.01	-0.331	0.188	-0.681	0.462	-0.28	-0.004	-0.402	-0.193	0.699	0.181	-0.184	-0.015	-0.117	-0.349	-0.422	0.007	-0.633	-0.213	-0.19	-0.054	-0.202	-0.025	0.015	0.276	0.042	-0.011	0.075	0.186	0.014	-0.202	-0.025	0.01	-0.297	-0.042	-0.429	-0.002	-0.047	0.227	0.098	0.223	-0.216	-0.194	-0.377	-0.185	0.054	0.023	-0.035	0.157	0.077	-0.001	0.582	0.004	-0.723	-0.012
1	32506890	LCK	0.023	0.347	0.026	0.512	0.079	0.01	-0.331	0.188	-0.681	0.462	-0.28	-0.042	-0.402	-0.193	0.699	0.181	-0.184	-0.015	-0.117	-0.349	-0.422	0.007	-0.633	-0.213	-0.19	-0.054	-0.202	-0.025	0.015	0.276	0.042	-0.011	0.075	0.186	0.014	-0.202	-0.025	0.01	-0.297	-0.042	-0.429	-0.002	-0.047	0.227	0.098	0.223	-0.216	-0.194	-0.377	-0.185	0.054	0.023	-0.035	0.157	0.077	-0.001	0.582	0.004	-0.723	-0.012
1	34994967	GJB5	0.023	0.347	0.026	0.12	0.095	0.006	-0.331	0.188	-0.681	0.454	-0.28	-0.026	-0.402	-0.232	0.699	0.678	-0.184	0.068	-0.117	-0.355	0.357	0.007	-0.633	-0.213	-0.2	-0.054	-0.202	-0.025	0.013	0.276	0.061	-0.011	0.108	0.186	-0.009	-0.21	-0.022	0.017	-0.305	-0.042	-0.429	-0.002	-0.005	0.234	0.098	0.223	-0.211	-0.194	-0.362	-0.185	0.054	0.023	-0.035	0.161	0.146	-0.001	0.582	0.004	-0.71	-0.004
1	36324362	TEKT2	0.023	0.347	0.026	1.031	0.095	0.006	-0.331	0.188	-0.681	0.454	-0.28	-0.026	-0.402	-0.232	0.493	0.678	-0.183	0.068	-0.117	-0.355	0.357	0.007	-0.635	-0.213	-0.2	-0.054	-0.202	-0.025	0.013	0.276	0.061	-0.011	0.108	0.186	-0.009	-0.21	-0.022	0.017	-0.305	-0.042	-0.429	-0.002	-0.005	0.234	0.098	0.223	-0.211	-0.194	-0.362	-0.185	0.054	0.023	-0.035	0.161	0.146	-0.001	0.582	0.004	-0.71	-0.004
1	36335933	COL8A2	0.023	0.347	0.026	1.031	0.095	0.006	-0.331	0.188	-0.681	0.454	-0.28	-0.026	-0.402	-0.232	0.493	0.678	-0.183	0.068	-0.117	-0.355	0.357	0.007	-0.635	-0.213	-0.2	-0.054	-0.202	-0.025	0.013	0.276	0.061	-0.011	0.108	0.186	-0.009	-0.21	-0.022	0.017	-0.305	-0.042	-0.429	-0.002	-0.005	0.234	0.098	0.223	-0.211	-0.194	-0.362	-0.185	0.054	0.023	-0.035	0.161	0.146	-0.001	0.582	0.004	-0.71	-0.004
1	37800076	DNALI1	0.023	0.347	0.026	0.52	0.095	0.006	-0.331	0.188	-0.681	0.454	-0.28	-0.026	-0.402	-0.232	0.715	0.173	-0.183	0.068	-0.117	-0.355	0.357	0.007	-0.649	-0.213	-0.2	-0.054	-0.202	-0.025	0.013	0.276	0.061	-0.012	0.108	0.186	-0.009	1.19	-0.022	0.017	-0.305	-0.042	-0.429	-0.002	-0.005	0.234	0.098	0.223	-0.211	-0.194	-0.362	-0.185	0.054	0.023	-0.035	0.161	0.146	-0.001	0.582	0.004	-0.71	-0.004
1	41099960	CITED4	0.023	0.347	0.274	0.52	0.095	0.006	-0.331	0.188	-0.715	0.454	-0.28	-0.026	-0.349	-0.232	0.715	0.173	-0.183	0.068	-0.117	-0.355	0.357	-0.004	-0.649	-0.213	-0.2	-0.054	-0.178	-0.025	0.013	0.276	0.061	-0.012	0.108	0.186	-0.009	0.331	-0.022	0.017	-0.305	-0.042	-0.105	-0.002	-0.005	0.234	0.098	0.223	-0.211	-0.175	-0.364	-0.185	0.054	0.023	-0.035	0.161	0.146	-0.001	0.582	0.004	-0.71	-0.004
1	41719982	EDN2	0.023	0.347	0.327	0.52	0.095	0.006	-0.331	0.188	-0.715	0.454	-0.28	-0.026	-0.349	-0.232	0.715	0.173	-0.183	0.068	-0.117	-0.355	0.357	-0.004	-0.649	-0.213	-0.2	-0.054	-0.178	-0.025	0.013	0.276	0.061	-0.012	0.108	0.186	-0.009	0.331	-0.022	0.017	-0.305	-0.042	-0.105	-0.002	-0.005	0.234	0.098	0.223	-0.211	-0.175	-0.364	-0.185	0.054	0.023	-0.035	0.161	0.146	-0.001	0.582	0.004	-0.71	-0.004
1	45349750	ZSWIM5	0.065	0.347	0.405	0.491	0.095	0.006	-0.331	0.188	-0.715	0.454	-0.28	-0.026	-0.349	-0.232	0.715	0.179	-0.183	0.068	-0.117	-0.355	0.357	-0.004	-0.649	-0.213	-0.197	-0.054	-0.178	-0.025	0.013	0.276	0.061	0.01	0.108	0.186	-0.009	0.331	-0.022	0.023	-0.305	-0.042	-0.105	-0.002	-0.005	0.234	0.098	0.223	-0.211	-0.175	-0.056	-0.185	0.054	0.023	-0.035	-0.584	0.146	-0.001	0.042	0.004	-0.71	-0.004
1	45566032	HPDL	0.065	0.347	0.405	0.491	0.095	0.006	-0.331	0.188	-0.715	0.454	-0.28	-0.026	-0.349	-0.232	0.715	0.179	-0.183	0.068	-0.117	-0.355	0.357	-0.004	-0.649	-0.213	-0.197	-0.054	-0.178	-0.025	0.013	0.276	0.061	0.01	0.108	0.186	-0.009	0.331	-0.022	0.023	-0.305	-0.042	-0.105	-0.002	-0.005	0.234	0.098	0.223	-0.211	-0.175	-0.056	-0.185	0.054	0.023	-0.035	-0.584	0.146	-0.001	0.042	0.004	-0.71	-0.004
1	46418778	TSPAN1	0.065	0.347	0.405	0.491	0.095	0.006	-0.331	0.188	-0.715	0.454	-0.28	-0.032	-0.349	-0.232	0.715	0.179	-0.183	0.068	-0.117	-0.359	0.357	-0.004	-0.649	-0.213	0.172	-0.054	-0.178	-0.025	0.013	0.276	0.061	0.01	0.108	0.186	-0.009	0.331	-0.022	0.023	-0.305	-0.021	-0.105	-0.002	-0.005	0.234	0.098	0.223	-0.211	-0.175	-0.056	-0.185	0.054	0.023	-0.035	-0.584	0.146	-0.001	0.042	0.004	-0.71	-0.004
1	47047432	CYP4B1	0.065	0.347	0.405	0.491	0.095	0.006	-0.331	0.188	-0.715	0.454	-0.28	-0.032	-0.349	-0.232	0.715	0.169	-0.183	0.068	-0.117	-0.359	0.357	-0.004	-0.649	-0.213	0.172	-0.054	-0.178	-0.025	0.013	0.276	0.061	0.01	0.108	0.186	-0.009	0.331	-0.022	0.023	-0.305	-0.021	-0.105	-0.002	-0.005	0.234	0.098	0.223	-0.211	-0.175	-0.056	-0.185	0.054	0.023	-0.035	-0.584	0.146	-0.001	0.042	0.004	-0.71	-0.004
1	47275418	CYP4X1	0.065	0.347	0.405	0.491	0.095	0.006	-0.331	0.188	-0.715	0.454	-0.28	-0.032	-0.349	-0.232	0.715	0.169	-0.183	0.068	-0.117	-0.359	0.357	-0.004	-0.649	-0.213	0.172	-0.054	-0.178	-0.025	0.013	0.276	0.061	0.01	0.108	0.186	-0.009	0.331	-0.022	0.023	-0.305	-0.021	-0.105	-0.002	-0.005	0.234	0.098	0.223	-0.211	-0.175	-0.056	-0.185	0.054	0.023	-0.035	-0.584	0.146	-0.001	0.042	0.004	-0.71	-0.004
