chr	start	end	strand	gene
1	90947	91312	+	ftsL
1	91328	93094	+	ftsI
1	93081	94568	+	murE
1	94565	95923	+	murF
1	95917	96999	+	mraY
1	97002	98318	+	murD
1	98318	99562	+	ftsW
1	99559	100626	+	murG
1	100680	102155	+	murC
1	102148	103068	+	ddlB
1	103070	103900	+	ftsQ
1	103897	105159	+	ftsA
1	105220	106371	+	ftsZ
1	106472	107389	+	lpxC
1	107545	108132	+	secM
1	108194	110899	+	secA
1	110959	111348	+	mutT
1	111564	111761	-	yacG
1	111771	112514	-	zapD
1	112514	113134	-	coaE
1	113359	114402	+	guaC
1	114437	115639	-	hofC
1	115629	117014	-	hofB
1	117024	117464	-	ppdD
1	117667	118560	-	nadC
1	118648	119199	+	ampD
1	119196	120050	+	ampE
1	120093	121466	-	aroP
1	122007	122771	+	pdhR
1	122932	125595	+	aceE
1	125610	127502	+	aceF
1	127827	129251	+	lpd
1	129322	131175	-	yacH
1	131530	134127	+	acnB
1	134303	134665	+	yacL
1	134703	135497	-	speD
1	135513	136379	-	speE
1	136485	136832	-	yacC
1	136998	138548	+	cueO
1	138750	141140	-	gcd
1	141346	141882	+	hpt
1	141923	142585	-	can
1	142694	143620	+	yadG
1	143617	144387	+	yadH
1	144492	144932	+	yadI
1	144996	146225	+	yadE
1	146229	146609	-	panD
1	146883	147785	+	yadD
1	147859	148710	-	panC
1	148722	149516	-	panB
1	149630	150868	-	yadC
1	150918	151514	-	yadK
1	151541	152146	-	yadL
1	152158	152727	-	yadM
1	152744	155341	-	htrE
1	155376	156116	-	yadV
1	156214	156798	-	yadN
1	157168	157647	-	folK
1	157644	159062	-	pcnB
1	159101	160027	-	gluQ
1	160064	160519	-	dksA
1	160697	161401	-	sfsA
1	161416	161946	-	ligT
1	162020	164449	+	hrpB
1	164645	167179	+	mrcB
1	167399	169642	+	fhuA
1	169693	170490	+	fhuC
1	170490	171380	+	fhuD
1	171377	173359	+	fhuB
1	173517	174797	-	hemL
1	175022	176443	+	clcA
1	176525	176869	+	erpA
1	176916	177539	-	yadS
1	177577	178377	-	btuF
1	178370	179068	-	mtn
1	179152	180669	+	dgt
1	180799	182223	+	degP
1	182378	183535	+	cdaR
1	183624	184010	-	yaeH
1	184172	184984	-	yaeI
1	185038	185862	-	dapD
1	185893	188565	-	glnD
1	188627	189421	-	map
1	189789	190514	+	rpsB
1	190772	191623	+	tsf
1	191770	192495	+	pyrH
1	192787	193344	+	frr
1	193436	194632	+	dxr
1	194818	195579	+	ispU
1	195592	196449	+	cdsA
1	196461	197813	+	rseP
1	197843	200275	+	bamA
1	200397	200882	+	skp
1	200886	201911	+	lpxD
1	202016	202471	+	fabZ
1	202475	203263	+	lpxA
1	203263	204411	+	lpxB
1	204408	205004	+	rnhB
1	205041	208523	+	dnaE
1	208536	209495	+	accA
1	209594	211735	+	ldcC
1	211792	212181	+	yaeR
1	212246	213544	+	tilS
1	213593	213853	-	rof
1	213840	214040	-	yaeP
1	214206	214751	+	yaeQ
1	214748	215170	+	arfB
1	215184	215894	+	nlpE
1	216094	216918	-	yaeF
1	216972	218690	-	proS
1	218802	219509	-	tsaA
1	219506	219910	-	rcsF
1	220028	220843	-	metQ
1	220883	221536	-	metI
1	221529	222560	-	metN
1	222748	223323	+	gmhB
1	225296	225372	+	ileV
1	225415	225490	+	alaV
1	225674	228577	+	rrlH
1	228670	228789	+	rrfH
1	228842	228918	+	aspU
1	229081	229884	+	dkgB
1	229881	230795	-	yafC
1	231036	231836	+	yafD
1	231840	232463	+	yafE
1	232511	233869	-	mltD
1	233941	234696	-	gloB
1	234730	235452	+	yafS
1	235449	235916	-	rnhA
1	235972	236712	+	dnaQ
1	236845	236921	+	aspV
1	237249	238034	+	yafT
1	238171	238650	-	ykfM
1	239333	240103	-	yafV
1	240257	240730	+	ivy
1	240773	243217	-	fadE
1	243457	244035	+	gmhA
1	244241	245008	+	yafJ
1	244979	245719	-	yafK
1	245875	246153	-	yafQ
1	246156	246416	-	dinJ
1	246626	247375	+	yafL
1	247551	248048	+	rayT
1	248272	250011	-	U069_c3570
1	250812	251867	+	dinB
1	251919	252212	+	yafN
1	252215	252613	+	yafO
1	252623	253075	+	yafP
1	253393	253647	+	ykfJ
1	254173	255630	-	pepD
1	255891	256349	+	gpt
1	256441	257685	+	frsA
1	257743	258144	+	crl
1	258183	259238	-	phoE
1	259526	260629	+	proB
1	260641	261894	+	proA
1	262466	262807	-	ykfI
1	262828	263145	-	yafW
1	263394	263870	-	ykfG
1	265248	266105	-	U069_c3571
1	267235	268098	-	ykfA
1	268427	269320	-	perR
1	270968	271393	+	insI1
1	274297	274386	+	U069_c3572
1	274439	275866	+	mmuP
1	275853	276785	+	mmuM
1	276894	277940	-	afuC
1	279967	281121	-	yagA
1	281416	282324	+	yagE
1	282339	284306	+	yagF
1	284533	285915	+	yagG
1	285927	287537	+	yagH
1	287542	288300	-	yagI
1	288439	289443	-	argF
1	292358	293056	-	yagL
1	293083	293937	-	yagM
1	294277	294717	-	yagN
1	294834	296234	-	intF
1	296344	296392	+	ptwF
1	296519	296929	-	yagP
1	296908	297864	-	paoD
1	297874	300072	-	paoC
1	300069	301025	-	paoB
1	301022	301711	-	paoA
1	302129	302743	+	yagU
1	302991	303320	-	ykgJ
1	303633	304343	-	ecpE
1	304312	305955	-	ecpD
1	305945	308470	-	ecpC
1	308496	309164	-	ecpB
1	309222	309809	-	ecpA
1	309884	310474	-	ecpR
1	311250	311477	+	ykgL
1	311512	311652	-	ykgO
1	311652	311918	-	ykgM
1	312279	312380	-	ykgR
1	316864	317457	-	rclC
1	317469	317705	-	rclB
1	317814	319139	-	rclA
1	319365	320219	+	rclR
1	320746	321465	+	ykgE
1	321476	322903	+	ykgF
1	322896	323591	+	ykgG
1	323834	324502	-	ykgH
1	324715	326385	-	betA
1	326399	327871	-	betB
1	327885	328472	-	betI
1	328601	330634	+	betT
1	331509	332597	+	yahA
1	332639	333571	-	yahB
1	333663	334160	-	yahC
1	334418	335023	+	yahD
1	335063	335926	+	yahE
1	335916	337463	+	yahF
1	337463	338881	+	yahG
1	339117	340067	+	yahI
1	340077	341459	+	yahJ
1	341836	342885	+	yahK
1	343128	343943	+	yahL
1	344356	344601	+	yahM
1	344618	345289	-	yahN
1	345436	345711	+	yahO
1	345809	347395	-	prpR
1	347634	348524	+	prpB
1	348778	349947	+	prpC
1	349981	351432	+	prpD
1	351472	353358	+	prpE
1	353688	354947	+	codB
1	354937	356220	+	codA
1	357565	358224	+	cynT
1	358255	358725	+	cynS
1	358731	359912	+	cynX
1	360015	360626	-	lacA
1	360692	361945	-	lacY
1	361997	365098	-	lacZ
1	364995	366074	-	lacI
1	366142	367089	-	mhpR
1	367166	368830	+	mhpA
1	368832	369776	+	mhpB
1	369794	370660	+	mhpC
1	370670	371479	+	mhpD
1	371476	372426	+	mhpF
1	372423	373436	+	mhpE
1	373812	375023	+	mhpT
1	375125	375664	+	yaiL
1	375888	376721	-	frmB
1	376815	377924	-	frmA
1	377959	378234	-	frmR
1	378422	379195	-	yaiO
1	381092	382288	-	yaiP
1	382412	382969	-	yaiS
1	383585	384547	+	tauA
1	384560	385327	+	tauB
1	385324	386151	+	tauC
1	386148	386999	+	tauD
1	387106	388080	-	hemB
1	392859	393482	+	yaiV
1	393483	394640	-	ampH
1	394686	394787	-	U069_c3590
1	394992	396212	+	sbmA
1	396225	397319	+	yaiW
1	397378	397686	-	yaiY
1	397946	398158	+	yaiZ
1	398182	399276	-	ddlA
1	399739	399999	+	iraP
1	400100	401515	+	phoA
1	401634	401954	+	psiF
1	402056	403171	+	yaiC
1	403188	403997	-	proC
1	404117	404575	+	yaiI
1	404758	405282	+	aroL
1	405781	406458	+	aroM
1	406530	406814	+	yaiE
1	407461	408438	-	rdgC
1	408497	409405	+	mak
1	409650	410918	-	araJ
1	410960	414106	-	sbcC
1	414103	415305	-	sbcD
1	415495	416184	+	phoB
1	416242	417537	+	phoR
1	417944	419263	+	brnQ
1	419339	420712	+	proY
1	420868	422685	+	malZ
1	422690	423271	-	acpH
1	423364	424434	+	queA
1	424490	425617	+	tgt
1	425640	425972	+	yajC
1	426000	427847	+	secD
1	427858	428829	+	secF
1	428958	429305	+	yajD
1	429482	430366	-	tsx
1	430665	431204	-	yajI
1	431355	431804	+	nrdR
1	431808	432911	+	ribD
1	433000	433470	+	ribE
1	433490	433909	+	nusB
1	433987	434964	+	thiL
1	434942	435460	+	pgpA
1	435514	436488	-	yajO
1	436668	438530	-	dxs
1	438555	439454	-	ispA
1	439454	439696	-	xseB
1	439902	441350	+	thiI
1	441404	441994	-	yajL
1	441957	442868	-	panE
1	443036	443527	+	yajQ
1	443655	445019	-	yajR
1	445168	446058	-	cyoE
1	446070	446399	-	cyoD
1	446399	447013	-	cyoC
1	447003	448994	-	cyoB
1	449016	449963	-	cyoA
1	450423	451898	-	ampG
1	451942	452520	-	yajG
1	452825	453142	+	bolA
1	453486	454784	+	tig
1	455030	455653	+	clpP
1	455779	457053	+	clpX
1	457241	459595	+	lon
1	459804	460076	+	hupB
1	460268	462139	+	ppiD
1	462290	462661	+	ybaV
1	462755	463153	+	fadM
1	463205	463900	-	queC
1	463965	465665	-	ybaE
1	465765	466583	+	cof
1	466736	467194	+	ybaO
1	467224	468996	+	mdlA
1	468989	470770	+	mdlB
1	470951	471289	+	glnK
1	471319	472605	+	amtB
1	472654	473514	-	tesB
1	473732	474304	+	ybaY
1	474335	474724	-	ybaZ
1	475025	475378	+	ybaA
1	475420	476970	-	ylaB
1	477134	477604	-	ylaC
1	477720	478271	-	maa
1	478443	478661	-	hha
1	478687	479061	-	tomB
1	479607	482756	-	acrB
1	482779	483972	-	acrA
1	484114	484761	+	acrR
1	484889	488251	+	mscK
1	488463	488624	-	ybaM
1	488638	489165	-	priC
1	489235	489612	+	ybaN
1	489765	490316	+	apt
1	490445	492376	+	dnaX
1	492429	492758	+	ybaB
1	492758	493363	+	recR
1	493473	495347	+	htpG
1	495528	496172	+	adk
1	496408	497370	+	hemH
1	497367	498326	-	aes
1	498478	499782	+	gsk
1	499915	501591	-	ybaL
1	501829	503049	-	fsr
1	503267	504919	+	ushA
1	504956	505435	-	ybaK
1	505639	506433	-	ybaP
1	506571	506912	+	ybaQ
1	507228	509732	-	copA
1	509994	510926	+	glsA
1	510929	512221	+	ybaT
1	512346	512753	+	cueR
1	512754	513212	-	ybbJ
1	513209	514126	-	qmcA
1	514272	514949	+	fetA
1	514936	515715	+	fetB
1	515778	516632	-	ybbN
1	516693	517502	-	ybbO
1	517492	518118	-	tesA
1	518086	518772	+	ybbA
1	518769	521183	+	ybbP
1	521614	525894	+	rhsD
1	525934	526302	+	ybbC
1	527998	528369	-	ylbG
1	528485	529579	-	mnmH
1	529648	530574	-	allS
1	530804	531286	+	allA
1	531364	532179	+	allR
1	532269	534050	+	gcl
1	534063	534839	+	hyi
1	534939	535817	+	glxR
1	535986	537440	+	ybbW
1	537500	538861	+	allB
1	538918	540219	+	ybbY
1	540241	541386	+	glxK
1	541614	542399	-	allE
1	542410	543645	-	allC
1	543667	544716	-	allD
1	545033	546700	+	fdrA
1	546710	547969	+	ylbE
1	547980	548795	+	ylbF
1	548792	549685	+	ybcF
1	549880	550947	-	purK
1	550944	551453	-	purE
1	551571	552293	-	lpxH
1	552296	552790	-	ppiB
1	552964	554349	+	cysS
1	554385	554906	-	ybcI
1	555014	555226	-	ybcJ
1	555228	556094	-	folD
1	556565	557107	+	sfmA
1	557327	558019	+	sfmC
1	558050	560653	+	sfmD
1	560689	561672	+	sfmH
1	561683	562198	+	sfmF
1	562201	562833	-	sfmZ
1	563076	563152	+	argU
1	563168	564331	-	intD
1	566668	567000	+	emrE
1	567255	568781	+	ybcK
1	569246	569797	+	ybcL
1	569807	570604	+	ybcM
1	570721	570822	+	ylcH
1	570819	571274	+	ybcN
1	571437	571727	+	ybcO
1	571724	572086	+	rusA
1	572083	572223	+	ylcG
1	572309	572692	+	quuD
1	575751	575966	+	essD
1	575966	576463	+	rrrD
1	576460	576921	+	rzpD
1	576953	577246	-	borD
1	577537	577947	-	ybcV
1	578233	578439	+	ybcW
1	578604	578798	-	ylcI
1	579187	579732	+	nohD
1	579707	580450	+	U069_c3620
1	582034	582783	+	appY
1	583033	583986	-	ompT
1	584410	584454	+	pauD
1	584500	585261	-	envY
1	585444	586334	-	ybcH
1	586335	589307	-	nfrA
1	589294	591531	-	nfrB
1	591681	593123	-	cusS
1	593113	593796	-	cusR
1	593953	595326	+	cusC
1	595484	595816	+	cusF
1	595832	597055	+	cusB
1	597067	600210	+	cusA
1	600312	601688	+	pheP
1	601769	603016	-	ybdG
1	603124	603777	-	nfsB
1	603871	604239	-	ybdF
1	604304	604552	-	ybdJ
1	604618	605736	-	ybdK
1	606090	606341	+	U069_c3623
1	607812	608555	-	entD
1	608607	610847	-	fepA
1	611090	612292	+	fes
1	612295	612513	+	ybdZ
1	612510	616391	+	entF
1	616607	617740	+	fepE
1	617737	618552	-	fepC
1	618549	619541	-	fepG
1	619538	620542	-	fepD
1	620653	621903	+	entS
1	621907	622863	-	fepB
1	623238	624413	+	entC
1	624423	626033	+	entE
1	626047	626904	+	entB
1	626904	627650	+	entA
1	627653	628066	+	entH
1	628247	630352	+	cstA
1	630535	630732	+	ybdD
1	630742	631830	-	ybdH
1	631939	633099	+	ybdL
1	633100	633729	-	ybdM
1	633702	634922	-	ybdN
1	635193	635942	-	ybdO
1	636151	636957	-	dsbG
1	637269	637832	+	ahpC
1	638047	639642	+	ahpF
1	639763	640191	-	uspG
1	640412	641650	+	ybdR
1	641654	641743	-	U069_c3627
1	641881	642327	-	rnk
1	642521	643345	-	rna
1	643441	644904	-	citT
1	644955	645833	-	citG
1	645808	646359	-	citX
1	646363	647937	-	citF
1	647906	648892	-	citE
1	648811	649107	-	citD
1	649122	650267	-	citC
1	650499	652217	+	citA
1	652186	652866	+	citB
1	652907	654310	-	dcuC
1	654857	655441	+	pagP
1	655565	655825	+	cspE
1	655879	656262	-	crcB
1	656579	657142	+	U069_c3630
1	657271	657474	+	tatE
1	657575	658540	-	lipA
1	658749	659702	-	ybeF
1	659961	660602	-	lipB
1	661076	662359	-	dacA
1	662426	663514	-	rlpA
1	663525	664637	-	mrdB
1	664640	666541	-	mrdA
1	666572	667039	-	rlmH
1	667043	667360	-	rsfS
1	667620	668258	-	cobC
1	668255	668896	-	nadD
1	668898	669932	-	holA
1	669929	670510	-	lptE
1	670525	673248	-	leuS
1	673342	673824	+	ybeL
1	673894	674877	-	ybeQ
1	675035	675742	+	ybeR
1	675739	677166	+	djlB
1	677176	677730	-	ybeT
1	677832	678539	+	ybeU
1	678536	679987	+	djlC
1	680047	681717	-	hscC
1	681801	682781	-	rihA
1	682854	683579	-	gltL
1	683579	684253	-	gltK
1	684253	685023	-	gltJ
1	685163	686146	-	gltI
1	687667	689205	-	lnt
1	689230	690108	-	ybeX
1	690198	690665	-	ybeY
1	691855	693279	-	miaB
1	693425	694600	+	ubiF
1	695381	695457	-	metT
1	696173	697837	-	asnB
1	698234	698986	-	nagD
1	699034	700254	-	nagC
1	700263	701411	-	nagA
1	701471	702271	-	nagB
1	702604	704550	+	nagE
1	704753	706417	+	glnS
1	706994	708400	+	chiP
1	708450	708776	+	chiQ
1	708860	709306	-	fur
1	709299	709385	-	uof
1	709595	710125	-	fldA
1	710698	711462	-	ybfF
1	711647	712192	+	seqA
1	712218	713858	+	pgm
1	714072	714566	+	ybfP
1	715606	716925	-	potE
1	716922	719120	-	speF
1	719243	719500	+	ybfK
1	719716	720393	-	kdpE
1	720390	723074	-	kdpD
1	723067	723639	-	kdpC
1	723648	725696	-	kdpB
1	725719	727392	-	kdpA
1	727392	727481	-	kdpF
1	727794	728000	+	ybfA
1	728243	732436	+	rhsC
1	732436	732762	+	ybfB
1	734310	734879	+	ybfC
1	736752	737513	+	ybfD
1	737661	738170	+	ybgA
1	738167	739585	+	phr
1	739735	741216	-	dtpD
1	741487	742230	+	ybgI
1	742253	742909	+	ybgJ
1	742903	743835	+	ybgK
1	743825	744559	+	ybgL
1	744595	745386	+	nei
1	745383	746429	-	abrB
1	746581	747642	-	ybgO
1	747639	748367	-	ybgP
1	748382	750829	-	ybgQ
1	750889	751455	-	ybgD
1	751845	753128	-	gltA
1	753822	754226	+	sdhC
1	754220	754567	+	sdhD
1	754567	756333	+	sdhA
1	756349	757065	+	sdhB
1	757366	760167	+	sucA
1	760182	761399	+	sucB
1	761674	762840	+	sucC
1	762840	763709	+	sucD
1	763813	764535	-	mngR
1	764644	766620	+	mngA
1	766638	769271	+	mngB
1	770118	771686	+	cydA
1	771702	772841	+	cydB
1	772856	772969	+	cydX
1	772969	773262	+	ybgE
1	773412	773816	+	ybgC
1	773813	774505	+	tolQ
1	774509	774937	+	tolR
1	775002	776267	+	tolA
1	776400	777692	+	tolB
1	777727	778248	+	pal
1	778258	779049	+	ybgF
1	779214	779289	+	lysT
1	780237	780312	+	lysQ
1	780745	781788	+	nadA
1	781826	782545	+	pnuC
1	782542	783483	-	zitB
1	783597	783977	-	ybgS
1	784293	785345	+	aroG
1	785503	786255	-	gpmA
1	786457	787497	-	galM
1	787491	788639	-	galK
1	788643	789689	-	galT
1	789699	790715	-	galE
1	790976	792448	-	modF
1	792516	793304	-	modE
1	793433	793582	+	acrZ
1	793749	794522	+	modA
1	794522	795211	+	modB
1	795214	796272	+	modC
1	796273	797091	-	ybhA
1	797246	798241	+	pgl
1	798282	799235	-	ybhD
1	799419	800471	+	ybhH
1	800547	801980	+	ybhI
1	802163	804424	+	ybhJ
1	804658	805941	-	ybhC
1	806093	806569	-	ybhB
1	806628	807917	-	bioA
1	808004	809044	+	bioB
1	809041	810195	+	bioF
1	810182	810937	+	bioC
1	810930	811607	+	bioD
1	812186	814207	+	uvrB
1	814399	815307	-	ybhK
1	815704	816693	+	moaA
1	816715	817227	+	moaB
1	817230	817715	+	moaC
1	817708	817953	+	moaD
1	817955	818407	+	moaE
1	818544	819248	+	ybhL
1	819453	820166	+	ybhM
1	820202	821158	-	ybhN
1	821158	822399	-	clsB
1	822396	823157	-	ybhP
1	823290	823700	+	ybhQ
1	823662	824768	-	ybhR
1	824779	825912	-	ybhS
1	825905	827641	-	ybhF
1	827634	828632	-	ybhG
1	828632	829303	-	ybiH
1	829532	830896	+	rhlE
1	831128	831610	-	ybiA
1	831595	833880	+	dinG
1	833908	834870	+	ybiB
1	835011	836096	+	ybiC
1	836325	836585	-	ybiJ
1	836850	837116	-	ybiI
1	837190	837867	-	ybiX
1	837909	840191	-	fiu
1	840456	840716	-	mcbA
1	840992	841918	+	rlmF
1	841915	844140	-	ybiO
1	844401	845123	-	glnQ
1	845120	845779	-	glnP
1	845918	846664	-	glnH
1	847068	847571	-	dps
1	847870	848757	-	rhtA
1	849110	849625	+	ompX
1	849674	851257	-	ybiP
1	851529	851657	-	mntS
1	851843	852310	+	mntR
1	852307	853425	+	ybiR
1	853484	854404	-	ldtB
1	854623	856215	+	ybiT
1	856456	857721	-	ybiU
1	857873	858688	-	ybiV
1	858834	861266	-	ybiW
1	861272	862171	-	ybiY
1	862302	862964	+	fsaA
1	863040	863789	-	moeB
1	863789	865024	-	moeA
1	865228	866193	+	iaaA
1	866180	868051	+	gsiA
1	868071	869609	+	gsiB
1	869627	870547	+	gsiC
1	870550	871461	+	gsiD
1	871639	873987	+	yliE
1	873995	875323	+	yliF
1	875370	876695	-	rimO
1	876908	877291	+	bssR
1	877402	878517	+	yliI
1	878514	879140	-	gstB
1	879387	880589	+	dacC
1	880636	881394	-	deoR
1	881452	882048	-	ybjG
1	882333	883565	+	mdfA
1	883606	883890	-	ybjH
1	883976	884791	-	ybjI
1	884791	885999	-	ybjJ
1	886083	886619	+	rcdA
1	886794	888479	-	ybjL
1	888749	889126	+	ybjM
1	889156	889413	-	grxA
1	889573	889860	+	ybjC
1	889844	890566	+	nfsA
1	890627	891529	+	rimK
1	891617	892093	+	ybjN
1	892444	893556	+	potF
1	893651	894784	+	potG
1	894794	895747	+	potH
1	895744	896589	+	potI
1	896649	897137	+	ybjO
1	897178	898305	+	rlmC
1	898504	899235	-	artJ
1	899526	900194	-	artM
1	900194	900910	-	artQ
1	900917	901648	-	artI
1	901666	902394	-	artP
1	902612	903127	-	ybjP
1	903253	903576	+	ybjQ
1	903573	904403	+	amiD
1	904400	905413	-	ybjS
1	905512	906942	-	ybjT
1	906953	907954	-	ltaE
1	907991	909709	-	poxB
1	909842	910810	-	hcr
1	910822	912474	-	hcp
1	912618	913517	-	ybjE
1	914012	914707	-	aqpZ
1	915133	916791	+	ybjD
1	916788	917780	-	ybjX
1	917895	919010	+	macA
1	919007	920953	+	macB
1	921026	921250	-	cspD
1	921573	921893	+	clpS
1	921924	924200	+	clpA
1	924544	924631	-	serW
1	924885	925103	-	infA
1	925388	926092	-	aat
1	926134	927855	-	cydC
1	927856	929622	-	cydD
1	929745	930710	-	trxB
1	931255	931749	+	lrp
1	931884	935873	+	ftsK
1	936032	936643	+	lolA
1	936654	937997	+	rarA
1	938088	939380	+	serS
1	939619	942063	+	dmsA
1	942074	942691	+	dmsB
1	942693	943556	+	dmsC
1	943591	944217	-	ycaC
1	944531	945679	+	ycaD
1	945889	947319	+	ycaM
1	947320	948228	-	ycaN
1	948328	948918	+	ycaK
1	949000	949740	-	pflA
1	949932	952214	-	pflB
1	952269	953126	-	focA
1	953532	955292	-	ycaO
1	955422	956114	+	ycaP
1	956313	957401	+	serC
1	957472	958755	+	aroA
1	958924	959688	+	ycaL
1	959861	960544	+	cmk
1	960655	962328	+	rpsA
1	962488	962772	+	ihfB
1	962980	965244	+	ycaI
1	965281	967029	+	msbA
1	967026	968012	+	lpxK
1	968049	969281	+	ycaQ
1	969333	969515	+	ycaR
1	969512	970258	+	kdsB
1	970412	971305	+	ycbJ
1	971282	972061	-	ycbC
1	972197	972982	+	smtA
1	972979	974301	+	mukF
1	974282	974986	+	mukE
1	974986	979446	+	mukB
1	979707	981554	+	ldtD
1	981735	982283	+	ycbK
1	982310	982957	+	ycbL
1	983179	984369	-	aspC
1	984554	985642	-	ompF
1	986245	987645	-	asnS
1	987814	989016	-	pncB
1	989282	991894	+	pepN
1	991937	992704	-	ssuB
1	992701	993492	-	ssuC
1	993503	994648	-	ssuD
1	994645	995604	-	ssuA
1	995597	996172	-	ssuE
1	996528	997067	+	elfA
1	997150	997851	+	elfD
1	997876	1000476	+	elfC
1	1000467	1001537	+	elfG
1	1001549	1002091	+	ycbU
1	1002051	1002614	+	ycbV
1	1002607	1003317	+	ycbF
1	1003428	1004438	+	pyrD
1	1004612	1005154	+	zapC
1	1005151	1006260	-	ycbX
1	1006504	1008612	+	rlmL
1	1008624	1010531	+	uup
1	1010661	1011914	+	pqiA
1	1011919	1013559	+	pqiB
1	1013556	1014119	+	pqiC
1	1014375	1014542	+	rmf
1	1014612	1015238	-	fabA
1	1015199	1016959	-	ycbZ
1	1017145	1017597	+	matP
1	1017673	1018713	-	ompA
1	1019070	1019579	-	sulA
1	1019798	1020427	+	sxy
1	1020390	1022552	-	yccS
1	1022562	1023008	-	yccF
1	1023131	1025185	+	helD
1	1025217	1025675	-	mgsA
1	1025771	1026433	-	yccT
1	1026606	1027019	+	yccU
1	1027064	1027381	-	hspQ
1	1027439	1028629	-	rlmI
1	1028724	1029002	+	yccX
1	1028999	1029328	-	tusE
1	1029419	1030078	-	yccA
1	1030285	1030372	-	serT
1	1030799	1031917	+	hyaA
1	1031914	1033707	+	hyaB
1	1033726	1034433	+	hyaC
1	1034430	1035017	+	hyaD
1	1035014	1035412	+	hyaE
1	1035409	1036266	+	hyaF
1	1036400	1037944	+	cbdA
1	1037956	1039092	+	cbdB
1	1039105	1039197	+	cbdX
1	1039277	1040575	+	appA
1	1040690	1042870	-	etk
1	1042890	1043336	-	etp
1	1043324	1044463	-	gfcE
1	1044509	1046605	-	gfcD
1	1046605	1047351	-	gfcC
1	1047348	1047992	-	gfcB
1	1048099	1048404	-	gfcA
1	1049623	1049835	-	cspH
1	1050121	1050333	+	cspG
1	1050507	1050737	+	ymcE
1	1050727	1050900	+	gnsA
1	1050949	1052022	-	yccM
1	1052094	1054838	-	torS
1	1054921	1055949	+	torT
1	1055922	1056614	-	torR
1	1056744	1057916	+	torC
1	1057916	1060462	+	torA
1	1060459	1061058	+	torD
1	1061210	1061515	-	cbpM
1	1061515	1062435	-	cbpA
1	1062696	1063952	+	yccE
1	1064245	1065486	+	agp
1	1065524	1065751	-	yccJ
1	1065772	1066368	-	wrbA
1	1066741	1066914	+	ymdF
1	1067171	1068499	-	rutG
1	1068520	1069014	-	rutF
1	1069025	1069615	-	rutE
1	1069625	1070425	-	rutD
1	1070433	1070819	-	rutC
1	1070831	1071526	-	rutB
1	1071523	1072671	-	rutA
1	1072902	1073540	+	rutR
1	1073580	1077542	-	putA
1	1077965	1079473	+	putP
1	1080016	1080126	+	U069_c3683
1	1080126	1080845	+	efeU
1	1080903	1082030	+	efeO
1	1082036	1083307	+	efeB
1	1083652	1084716	+	phoH
1	1084766	1085179	-	pgaD
1	1085181	1086506	-	pgaC
1	1086499	1088517	-	pgaB
1	1088526	1090949	-	pgaA
1	1091536	1092024	+	U069_c3685
1	1091988	1092893	+	U069_c3686
1	1094502	1095488	+	ycdU
1	1095862	1095949	-	serX
1	1096183	1097121	+	ghrA
1	1097176	1097913	+	ycdX
1	1097937	1098491	+	ycdY
1	1098563	1099084	+	ycdZ
1	1099148	1099981	-	csgG
1	1100008	1100424	-	csgF
1	1100449	1100838	-	csgE
1	1100843	1101493	-	csgD
1	1102248	1102703	+	csgB
1	1102744	1103199	+	csgA
